onset	duration	trial_type	value	sample
6.6376	0.0	left/tone/2500	9	8297
7.9368	0.0	right/tone/500	7	9921
9.4376	0.0	right/tone/500	7	11797
10.7368	0.0	right/tone/4000	19	13421
11.9376	0.0	right/tone/500	7	14922
13.4368	0.0	right/tone/4000	19	16796
14.6368	0.0	left/tone/2500	9	18296
15.9384	0.0	left/tone/500	5	19923
17.3384	0.0	right/tone/4000	19	21673
18.7384	0.0	right/tone/500	7	23423
20.2384	0.0	left/tone/4000	17	25298
21.4384	0.0	left/tone/500	5	26798
22.8392	0.0	left/tone/4000	17	28549
24.24	0.0	left/noise	33	30300
25.5392	0.0	left/tone/500	5	31924
27.04	0.0	right/tone/500	7	33800
28.34	0.0	left/noise	33	35425
29.6408	0.0	left/tone/500	5	37051
30.84	0.0	right/tone/500	7	38550
32.34	0.0	right/tone/2500	11	40425
33.7408	0.0	right/tone/500	7	42176
35.2424	0.0	left/tone/4000	17	44053
36.6416	0.0	right/tone/4000	19	45802
38.0416	0.0	left/tone/500	5	47552
39.4424	0.0	left/tone/500	5	49303
40.7416	0.0	left/noise	33	50927
42.2424	0.0	left/noise	33	52803
43.4416	0.0	right/tone/500	7	54302
44.9424	0.0	left/tone/2500	9	56178
46.4432	0.0	right/noise	35	58054
47.7424	0.0	left/tone/4000	17	59678
49.0424	0.0	left/tone/500	5	61303
50.5432	0.0	right/tone/500	7	63179
52.044	0.0	left/noise	33	65055
53.444	0.0	right/tone/500	7	66805
54.6432	0.0	right/tone/500	7	68304
56.0432	0.0	left/tone/500	5	70054
57.344	0.0	right/tone/500	7	71680
58.5448	0.0	left/tone/500	5	73181
60.044	0.0	right/tone/2500	11	75055
61.2448	0.0	right/noise	35	76556
62.5456	0.0	left/noise	33	78182
63.8464	0.0	right/tone/4000	19	79808
65.2464	0.0	right/tone/4000	19	81558
66.6456	0.0	left/tone/2500	9	83307
68.0464	0.0	right/tone/2500	11	85058
69.2456	0.0	left/noise	33	86557
