onset	duration	trial_type	value	sample
7.856	0.0	left/tone/2500	9	9820
9.356	0.0	left/noise	33	11695
10.856	0.0	right/tone/500	7	13570
12.356	0.0	right/noise	35	15445
13.8552	0.0	left/tone/2500	9	17319
15.356	0.0	right/tone/4000	19	19195
16.756	0.0	left/noise	33	20945
18.2576	0.0	left/tone/2500	9	22822
19.7576	0.0	left/tone/500	5	24697
20.9568	0.0	right/noise	35	26196
22.3568	0.0	right/tone/4000	19	27946
23.7576	0.0	left/tone/500	5	29697
25.2584	0.0	left/tone/4000	17	31573
26.7576	0.0	right/tone/2500	11	33447
28.2584	0.0	right/noise	35	35323
29.4592	0.0	left/tone/500	5	36824
30.8592	0.0	left/tone/500	5	38574
32.1584	0.0	right/tone/500	7	40198
33.4584	0.0	left/tone/4000	17	41823
34.9584	0.0	left/noise	33	43698
36.3592	0.0	left/noise	33	45449
37.5608	0.0	right/noise	35	46951
39.0608	0.0	right/tone/2500	11	48826
40.3608	0.0	right/tone/2500	11	50451
41.5608	0.0	right/noise	35	51951
43.0592	0.0	left/tone/4000	17	53824
44.2608	0.0	left/tone/2500	9	55326
45.4608	0.0	right/tone/2500	11	56826
46.9608	0.0	right/tone/500	7	58701
48.3616	0.0	left/tone/2500	9	60452
49.8624	0.0	right/tone/500	7	62328
51.1624	0.0	left/tone/500	5	63953
52.3616	0.0	right/noise	35	65452
53.7616	0.0	left/noise	33	67202
55.0616	0.0	right/tone/500	7	68827
56.2624	0.0	left/tone/2500	9	70328
57.5632	0.0	right/tone/500	7	71954
58.964	0.0	right/tone/500	7	73705
60.3624	0.0	right/noise	35	75453
61.6632	0.0	right/tone/500	7	77079
63.1632	0.0	left/tone/500	5	78954
64.6632	0.0	right/noise	35	80829
66.0632	0.0	right/noise	35	82579
67.464	0.0	right/tone/4000	19	84330
68.664	0.0	right/tone/500	7	85830
70.164	0.0	left/tone/2500	9	87705
71.3648	0.0	left/tone/4000	17	89206
72.7656	0.0	left/noise	33	90957
74.1648	0.0	left/tone/4000	17	92706
75.6656	0.0	right/tone/2500	11	94582
82.4664	0.0	left/tone/4000	17	103083
83.7664	0.0	left/tone/4000	17	104708
85.0664	0.0	right/noise	35	106333
86.568	0.0	right/noise	35	108210
87.968	0.0	right/tone/4000	19	109960
89.2672	0.0	left/noise	33	111584
90.568	0.0	right/tone/500	7	113210
91.868	0.0	left/tone/4000	17	114835
93.3688	0.0	left/tone/2500	9	116711
94.5688	0.0	right/tone/500	7	118211
95.7696	0.0	right/tone/4000	19	119712
96.9696	0.0	right/tone/4000	19	121212
98.3696	0.0	left/tone/500	5	122962
99.8704	0.0	left/tone/500	5	124838
101.2712	0.0	left/tone/2500	9	126589
102.5712	0.0	left/tone/2500	9	128214
103.872	0.0	left/tone/4000	17	129840
105.3704	0.0	right/tone/2500	11	131713
106.6704	0.0	left/tone/4000	17	133338
108.0704	0.0	left/tone/500	5	135088
109.5712	0.0	right/tone/500	7	136964
110.8712	0.0	right/tone/2500	11	138589
112.0712	0.0	right/noise	35	140089
113.272	0.0	right/noise	35	141590
114.572	0.0	left/tone/2500	9	143215
115.9736	0.0	left/noise	33	144967
117.1736	0.0	right/tone/4000	19	146467
118.4744	0.0	right/tone/4000	19	148093
119.9736	0.0	right/noise	35	149967
121.1752	0.0	left/tone/2500	9	151469
122.6752	0.0	right/noise	35	153344
123.9744	0.0	right/tone/2500	11	154968
125.4752	0.0	right/noise	35	156844
126.6752	0.0	left/tone/500	5	158344
128.176	0.0	right/noise	35	160220
129.676	0.0	right/noise	35	162095
131.1768	0.0	left/tone/2500	9	163971
132.4768	0.0	left/tone/4000	17	165596
133.676	0.0	left/tone/2500	9	167095
134.8768	0.0	right/tone/2500	11	168596
136.2768	0.0	right/noise	35	170346
137.7776	0.0	left/tone/4000	17	172222
139.0768	0.0	left/tone/2500	9	173846
140.4792	0.0	right/tone/4000	19	175599
141.98	0.0	right/tone/4000	19	177475
143.4808	0.0	left/tone/2500	9	179351
144.78	0.0	right/noise	35	180975
145.9808	0.0	left/noise	33	182476
147.48	0.0	right/noise	35	184350
148.6808	0.0	left/tone/2500	9	185851
155.4824	0.0	left/tone/4000	17	194353
156.6824	0.0	left/tone/500	5	195853
158.1824	0.0	left/tone/500	5	197728
159.6824	0.0	left/tone/500	5	199603
161.0832	0.0	left/tone/4000	17	201354
162.4832	0.0	left/tone/2500	9	203104
163.984	0.0	left/noise	33	204980
165.4832	0.0	left/tone/500	5	206854
166.684	0.0	right/tone/4000	19	208355
168.084	0.0	right/tone/4000	19	210105
169.2856	0.0	left/tone/2500	9	211607
170.784	0.0	right/noise	35	213480
172.2848	0.0	right/tone/4000	19	215356
173.5848	0.0	right/noise	35	216981
174.7856	0.0	left/noise	33	218482
175.9864	0.0	left/tone/500	5	219983
177.4872	0.0	right/tone/500	7	221859
178.888	0.0	left/tone/4000	17	223610
180.0864	0.0	right/tone/4000	19	225108
181.2864	0.0	right/noise	35	226608
182.788	0.0	right/tone/4000	19	228485
184.2872	0.0	left/tone/4000	17	230359
185.6872	0.0	left/noise	33	232109
186.888	0.0	left/noise	33	233610
188.088	0.0	right/tone/4000	19	235110
189.488	0.0	left/tone/500	5	236860
190.8888	0.0	left/noise	33	238611
192.3896	0.0	left/tone/4000	17	240487
193.5904	0.0	right/noise	35	241988
194.8912	0.0	left/tone/2500	9	243614
196.2912	0.0	right/noise	35	245364
197.4904	0.0	right/noise	35	246863
198.9904	0.0	left/tone/4000	17	248738
200.3904	0.0	right/tone/4000	19	250488
201.8912	0.0	left/tone/4000	17	252364
203.1912	0.0	left/tone/4000	17	253989
204.3928	0.0	left/tone/2500	9	255491
205.5928	0.0	right/tone/2500	11	256991
207.0912	0.0	left/tone/4000	17	258864
208.2928	0.0	left/tone/2500	9	260366
209.692	0.0	right/tone/2500	11	262115
210.8928	0.0	right/tone/2500	11	263616
212.092	0.0	right/noise	35	265115
213.4928	0.0	left/tone/4000	17	266866
214.6936	0.0	left/tone/2500	9	268367
216.1936	0.0	left/tone/500	5	270242
217.3944	0.0	left/tone/500	5	271743
218.8936	0.0	left/tone/4000	17	273617
220.0944	0.0	left/tone/500	5	275118
221.4952	0.0	right/noise	35	276869
228.3944	0.0	right/tone/500	7	285493
229.6936	0.0	left/tone/2500	9	287117
230.9952	0.0	right/tone/500	7	288744
232.396	0.0	left/tone/2500	9	290495
233.8952	0.0	right/tone/500	7	292369
235.396	0.0	right/tone/2500	11	294245
236.7952	0.0	left/tone/4000	17	295994
238.0968	0.0	left/noise	33	297621
239.596	0.0	left/tone/500	5	299495
240.896	0.0	right/tone/4000	19	301120
242.1968	0.0	right/tone/2500	11	302746
243.496	0.0	left/tone/4000	17	304370
