onset	duration	trial_type	value	sample
4.0136	0.0	right/tone/4000	6	5017
5.4136	0.0	left/tone/4000	5	6767
6.8136	0.0	left/noise	7	8517
8.0136	0.0	left/noise	7	10017
9.2136	0.0	right/tone/500	2	11517
10.6136	0.0	right/noise	8	13267
12.1136	0.0	left/tone/4000	5	15142
13.5144	0.0	left/noise	7	16893
15.0144	0.0	left/tone/2500	3	18768
16.4144	0.0	right/tone/4000	6	20518
17.7144	0.0	left/noise	7	22143
19.2144	0.0	left/tone/4000	5	24018
20.7144	0.0	right/tone/4000	6	25893
21.9144	0.0	left/tone/4000	5	27393
23.4144	0.0	right/tone/500	2	29268
24.8144	0.0	left/noise	7	31018
26.3144	0.0	right/tone/4000	6	32893
27.5144	0.0	left/tone/4000	5	34393
28.7144	0.0	right/tone/2500	4	35893
29.9144	0.0	left/tone/2500	3	37393
31.1144	0.0	left/noise	7	38893
32.3152	0.0	right/tone/4000	6	40394
33.6152	0.0	left/tone/4000	5	42019
35.0152	0.0	right/noise	8	43769
36.5152	0.0	left/tone/4000	5	45644
38.0152	0.0	right/tone/2500	4	47519
39.4152	0.0	left/noise	7	49269
40.7152	0.0	right/noise	8	50894
42.2152	0.0	right/noise	8	52769
43.4152	0.0	right/tone/4000	6	54269
44.6152	0.0	left/tone/4000	5	55769
46.1152	0.0	left/tone/2500	3	57644
47.3152	0.0	left/tone/4000	5	59144
48.5152	0.0	left/noise	7	60644
49.7152	0.0	right/tone/2500	4	62144
51.116	0.0	right/noise	8	63895
52.516	0.0	right/tone/500	2	65645
53.916	0.0	right/noise	8	67395
55.416	0.0	right/noise	8	69270
56.916	0.0	right/tone/4000	6	71145
58.316	0.0	right/tone/2500	4	72895
59.516	0.0	left/tone/2500	3	74395
60.816	0.0	left/noise	7	76020
62.216	0.0	left/tone/500	1	77770
63.616	0.0	left/tone/4000	5	79520
65.116	0.0	left/tone/2500	3	81395
66.316	0.0	left/noise	7	82895
67.516	0.0	right/tone/4000	6	84395
68.7168	0.0	right/tone/4000	6	85896
70.2168	0.0	left/noise	7	87771
77.2312	0.0	left/tone/500	1	96539
78.7312	0.0	left/tone/2500	3	98414
80.032	0.0	left/tone/2500	3	100040
81.232	0.0	left/tone/500	1	101540
82.732	0.0	left/tone/2500	3	103415
83.932	0.0	left/tone/500	1	104915
85.132	0.0	right/tone/500	2	106415
86.332	0.0	right/noise	8	107915
87.832	0.0	right/noise	8	109790
89.232	0.0	right/tone/500	2	111540
90.632	0.0	right/tone/500	2	113290
92.032	0.0	left/noise	7	115040
93.432	0.0	left/noise	7	116790
94.932	0.0	right/tone/4000	6	118665
96.132	0.0	left/tone/2500	3	120165
97.532	0.0	right/tone/2500	4	121915
98.8328	0.0	right/tone/2500	4	123541
100.2328	0.0	right/noise	8	125291
101.7328	0.0	right/tone/500	2	127166
103.1328	0.0	right/tone/2500	4	128916
104.5328	0.0	left/tone/2500	3	130666
106.0328	0.0	right/tone/2500	4	132541
107.2328	0.0	right/tone/4000	6	134041
108.6328	0.0	left/tone/4000	5	135791
109.8328	0.0	right/tone/500	2	137291
111.1328	0.0	right/tone/500	2	138916
112.6328	0.0	left/tone/2500	3	140791
113.9328	0.0	left/tone/2500	3	142416
115.4336	0.0	left/tone/2500	3	144292
116.7328	0.0	left/noise	7	145916
118.0336	0.0	right/tone/500	2	147542
119.4336	0.0	right/noise	8	149292
120.6336	0.0	right/tone/500	2	150792
121.8336	0.0	left/noise	7	152292
123.3336	0.0	left/noise	7	154167
124.6336	0.0	left/tone/500	1	155792
125.9336	0.0	left/tone/2500	3	157417
127.3336	0.0	right/noise	8	159167
128.8336	0.0	right/tone/500	2	161042
130.1336	0.0	right/tone/4000	6	162667
131.4336	0.0	right/tone/2500	4	164292
132.7336	0.0	right/noise	8	165917
