onset	duration	trial_type	value	sample
8.5816	0.0	left/noise	33	10727
10.0808	0.0	right/noise	35	12601
11.58	0.0	right/tone/4000	19	14475
12.7808	0.0	right/tone/500	7	15976
13.9808	0.0	right/tone/4000	19	17476
15.3816	0.0	right/tone/500	7	19227
16.88	0.0	left/tone/500	5	21100
18.28	0.0	right/tone/500	7	22850
19.4816	0.0	right/tone/2500	11	24352
20.7816	0.0	left/tone/2500	9	25977
22.2832	0.0	right/tone/500	7	27854
23.4832	0.0	right/noise	35	29354
24.6832	0.0	left/noise	33	30854
25.9832	0.0	left/tone/500	5	32479
27.184	0.0	left/tone/500	5	33980
28.584	0.0	right/noise	35	35730
29.9824	0.0	left/noise	33	37478
31.1832	0.0	right/tone/500	7	38979
32.484	0.0	left/tone/500	5	40605
33.984	0.0	right/tone/2500	11	42480
35.2848	0.0	right/tone/500	7	44106
36.5848	0.0	right/tone/2500	11	45731
37.7856	0.0	left/tone/2500	9	47232
39.1856	0.0	right/tone/500	7	48982
40.3848	0.0	right/noise	35	50481
41.5856	0.0	left/tone/500	5	51982
42.7864	0.0	right/tone/4000	19	53483
44.288	0.0	left/tone/2500	9	55360
45.7872	0.0	left/tone/2500	9	57234
47.2872	0.0	left/noise	33	59109
48.788	0.0	right/tone/500	7	60985
50.088	0.0	left/tone/4000	17	62610
51.5888	0.0	right/tone/4000	19	64486
52.9888	0.0	right/noise	35	66236
54.488	0.0	right/tone/4000	19	68110
55.688	0.0	left/tone/2500	9	69610
56.8896	0.0	right/noise	35	71112
58.0888	0.0	right/tone/4000	19	72611
59.5888	0.0	left/tone/2500	9	74486
60.9896	0.0	left/tone/4000	17	76237
62.2904	0.0	left/tone/500	5	77863
63.4904	0.0	right/noise	35	79363
64.792	0.0	left/tone/500	5	80990
66.1912	0.0	right/tone/4000	19	82739
67.6904	0.0	left/noise	33	84613
69.0912	0.0	right/tone/4000	19	86364
70.292	0.0	left/tone/4000	17	87865
71.5912	0.0	right/tone/500	7	89489
72.8928	0.0	right/tone/500	7	91116
74.292	0.0	left/tone/500	5	92865
80.9928	0.0	left/noise	33	101241
82.492	0.0	right/tone/2500	11	103115
83.9928	0.0	right/tone/4000	19	104991
85.1936	0.0	left/noise	33	106492
86.3928	0.0	right/tone/4000	19	107991
87.7928	0.0	right/tone/2500	11	109741
89.1944	0.0	right/tone/500	7	111493
90.6936	0.0	right/noise	35	113367
91.8944	0.0	right/noise	35	114868
93.2944	0.0	left/noise	33	116618
94.4928	0.0	left/tone/4000	17	118116
95.7952	0.0	right/noise	35	119744
97.2936	0.0	left/tone/500	5	121617
98.7936	0.0	left/tone/500	5	123492
100.0952	0.0	right/tone/4000	19	125119
101.5936	0.0	left/tone/500	5	126992
103.096	0.0	right/tone/2500	11	128870
