onset	duration	trial_type	value	sample
6.616	0.0	right/noise	35	8270
7.8144	0.0	left/tone/500	5	9768
9.3152	0.0	left/noise	33	11644
10.6152	0.0	right/tone/2500	11	13269
11.8152	0.0	right/tone/2500	11	14769
13.1152	0.0	right/tone/2500	11	16394
14.6152	0.0	right/tone/500	7	18269
15.9152	0.0	left/noise	33	19894
17.416	0.0	right/tone/2500	11	21770
18.8168	0.0	right/noise	35	23521
20.0176	0.0	left/tone/4000	17	25022
21.4168	0.0	right/tone/4000	19	26771
22.8176	0.0	left/tone/4000	17	28522
24.3168	0.0	left/tone/2500	9	30396
25.7168	0.0	right/tone/4000	19	32146
26.9168	0.0	right/tone/2500	11	33646
28.3168	0.0	left/tone/500	5	35396
29.7176	0.0	left/tone/500	5	37147
31.2176	0.0	right/tone/4000	19	39022
32.4176	0.0	right/tone/500	7	40522
33.9176	0.0	right/tone/4000	19	42397
35.3176	0.0	left/tone/500	5	44147
36.6176	0.0	left/tone/2500	9	45772
37.9192	0.0	left/tone/4000	17	47399
39.3192	0.0	right/noise	35	49149
40.8184	0.0	left/noise	33	51023
42.2184	0.0	right/tone/500	7	52773
43.6184	0.0	left/tone/500	5	54523
45.0184	0.0	right/tone/2500	11	56273
46.4184	0.0	right/tone/2500	11	58023
47.7192	0.0	right/tone/4000	19	59649
49.2184	0.0	left/noise	33	61523
50.6192	0.0	left/tone/500	5	63274
51.92	0.0	right/tone/500	7	64900
53.4192	0.0	left/noise	33	66774
54.92	0.0	left/tone/500	5	68650
56.22	0.0	right/tone/500	7	70275
57.7208	0.0	right/noise	35	72151
59.2216	0.0	left/tone/4000	17	74027
60.4208	0.0	left/tone/500	5	75526
61.8208	0.0	right/tone/2500	11	77276
63.1224	0.0	right/tone/500	7	78903
64.6208	0.0	left/noise	33	80776
65.9224	0.0	right/tone/500	7	82403
67.3224	0.0	left/tone/4000	17	84153
68.5216	0.0	left/tone/500	5	85652
69.8224	0.0	right/tone/4000	19	87278
71.1232	0.0	right/tone/500	7	88904
72.6232	0.0	right/noise	35	90779
73.8232	0.0	left/noise	33	92279
80.8248	0.0	left/tone/500	5	101031
82.1248	0.0	right/noise	35	102656
83.5248	0.0	left/tone/500	5	104406
84.9256	0.0	right/tone/2500	11	106157
86.224	0.0	left/noise	33	107780
87.7256	0.0	right/tone/2500	11	109657
89.2272	0.0	right/noise	35	111534
90.4264	0.0	right/noise	35	113033
91.9264	0.0	left/noise	33	114908
93.1272	0.0	right/tone/2500	11	116409
94.3272	0.0	left/tone/4000	17	117909
95.5264	0.0	right/tone/500	7	119408
97.028	0.0	left/tone/500	5	121285
98.528	0.0	left/tone/500	5	123160
99.9272	0.0	left/tone/500	5	124909
101.128	0.0	right/noise	35	126410
102.4288	0.0	left/tone/4000	17	128036
103.628	0.0	left/tone/2500	9	129535
105.1288	0.0	right/tone/2500	11	131411
106.3304	0.0	right/tone/500	7	132913
107.8312	0.0	left/noise	33	134789
109.2288	0.0	left/tone/2500	9	136536
110.7296	0.0	left/tone/2500	9	138412
112.0296	0.0	right/tone/4000	19	140037
113.4296	0.0	left/noise	33	141787
114.6296	0.0	right/tone/500	7	143287
116.0304	0.0	right/noise	35	145038
117.2312	0.0	left/tone/500	5	146539
118.4312	0.0	right/tone/4000	19	148039
119.7312	0.0	left/tone/4000	17	149664
121.0312	0.0	left/noise	33	151289
122.532	0.0	right/noise	35	153165
123.8312	0.0	left/tone/500	5	154789
125.3328	0.0	left/noise	33	156666
126.6328	0.0	right/tone/4000	19	158291
127.9336	0.0	right/tone/4000	19	159917
129.2336	0.0	right/tone/500	7	161542
130.7352	0.0	right/tone/500	7	163419
131.9344	0.0	right/noise	35	164918
133.3344	0.0	left/noise	33	166668
134.5336	0.0	left/noise	33	168167
135.9344	0.0	right/tone/500	7	169918
137.1352	0.0	right/tone/500	7	171419
138.3352	0.0	left/tone/4000	17	172919
139.6344	0.0	right/noise	35	174543
141.136	0.0	left/tone/2500	9	176420
142.536	0.0	right/tone/500	7	178170
143.936	0.0	right/tone/2500	11	179920
145.2352	0.0	left/noise	33	181544
146.5352	0.0	right/noise	35	183169
153.336	0.0	left/tone/500	5	191670
154.736	0.0	right/tone/4000	19	193420
156.0368	0.0	left/noise	33	195046
157.3368	0.0	left/tone/2500	9	196671
158.5368	0.0	right/noise	35	198171
160.0376	0.0	left/noise	33	200047
161.5384	0.0	right/noise	35	201923
162.9392	0.0	left/tone/4000	17	203674
164.1384	0.0	right/tone/500	7	205173
165.3376	0.0	left/tone/4000	17	206672
166.7384	0.0	right/tone/2500	11	208423
167.9384	0.0	left/noise	33	209923
169.3384	0.0	right/tone/4000	19	211673
170.6384	0.0	right/noise	35	213298
171.94	0.0	right/tone/4000	19	214925
173.34	0.0	left/tone/4000	17	216675
174.64	0.0	right/tone/2500	11	218300
175.9392	0.0	left/tone/4000	17	219924
177.1408	0.0	left/tone/4000	17	221426
178.6416	0.0	right/tone/500	7	223302
180.0416	0.0	right/tone/4000	19	225052
181.2424	0.0	left/tone/4000	17	226553
182.5432	0.0	left/tone/500	5	228179
183.844	0.0	right/tone/2500	11	229805
185.0424	0.0	right/tone/500	7	231303
186.4432	0.0	left/tone/2500	9	233054
187.744	0.0	right/noise	35	234680
189.1448	0.0	left/tone/500	5	236431
190.644	0.0	right/tone/2500	11	238305
191.844	0.0	left/tone/500	5	239805
193.244	0.0	right/tone/2500	11	241555
194.4456	0.0	right/tone/4000	19	243057
195.944	0.0	left/tone/4000	17	244930
197.2456	0.0	right/noise	35	246557
198.4456	0.0	left/tone/500	5	248057
199.8448	0.0	left/noise	33	249806
201.2448	0.0	right/tone/4000	19	251556
202.4456	0.0	left/tone/500	5	253057
203.6464	0.0	right/tone/500	7	254558
205.1448	0.0	right/noise	35	256431
206.5448	0.0	left/tone/4000	17	258181
207.9448	0.0	right/tone/4000	19	259931
209.4456	0.0	right/tone/2500	11	261807
210.9464	0.0	left/tone/2500	9	263683
212.3464	0.0	right/tone/4000	19	265433
213.8456	0.0	right/tone/2500	11	267307
215.3464	0.0	right/tone/2500	11	269183
216.6464	0.0	left/tone/2500	9	270808
217.948	0.0	left/tone/500	5	272435
219.4472	0.0	right/tone/500	7	274309
226.448	0.0	left/tone/2500	9	283060
227.648	0.0	right/tone/2500	11	284560
229.048	0.0	right/tone/2500	11	286310
230.5496	0.0	right/noise	35	288187
232.048	0.0	right/tone/2500	11	290060
233.3496	0.0	left/noise	33	291687
234.6488	0.0	right/tone/4000	19	293311
236.0496	0.0	left/tone/2500	9	295062
237.4496	0.0	left/tone/2500	9	296812
238.7496	0.0	left/tone/500	5	298437
240.1496	0.0	right/tone/2500	11	300187
241.3504	0.0	left/tone/4000	17	301688
242.7512	0.0	right/noise	35	303439
244.1512	0.0	left/tone/2500	9	305189
245.452	0.0	left/noise	33	306815
246.752	0.0	right/tone/4000	19	308440
248.2528	0.0	right/tone/2500	11	310316
249.4536	0.0	right/noise	35	311817
250.6528	0.0	right/tone/4000	19	313316
251.9536	0.0	left/noise	33	314942
253.1536	0.0	left/tone/4000	17	316442
254.3536	0.0	right/tone/2500	11	317942
255.7536	0.0	left/tone/500	5	319692
257.0552	0.0	left/tone/2500	9	321319
258.2552	0.0	left/tone/4000	17	322819
259.556	0.0	left/tone/2500	9	324445
260.7552	0.0	left/tone/500	5	325944
262.256	0.0	right/tone/500	7	327820
263.4568	0.0	right/tone/4000	19	329321
264.756	0.0	right/tone/4000	19	330945
265.9576	0.0	right/tone/2500	11	332447
267.456	0.0	left/tone/2500	9	334320
268.9568	0.0	left/tone/500	5	336196
270.3568	0.0	right/tone/500	7	337946
271.5576	0.0	left/tone/2500	9	339447
272.9576	0.0	left/tone/2500	9	341197
274.4568	0.0	right/noise	35	343071
275.9568	0.0	right/tone/2500	11	344946
277.1584	0.0	right/tone/2500	11	346448
278.6576	0.0	left/tone/500	5	348322
279.8584	0.0	right/tone/2500	11	349823
281.3592	0.0	right/tone/500	7	351699
282.86	0.0	left/tone/500	5	353575
284.0592	0.0	left/tone/4000	17	355074
285.2592	0.0	left/tone/2500	9	356574
286.6608	0.0	left/tone/4000	17	358326
288.1616	0.0	left/tone/500	5	360202
289.5608	0.0	left/tone/2500	9	361951
290.76	0.0	left/tone/2500	9	363450
292.16	0.0	right/tone/2500	11	365200
298.8608	0.0	left/noise	33	373576
300.1616	0.0	right/noise	35	375202
301.3608	0.0	left/tone/4000	17	376701
302.6616	0.0	left/tone/500	5	378327
304.0616	0.0	left/noise	33	380077
305.4624	0.0	left/noise	33	381828
306.9616	0.0	left/tone/2500	9	383702
308.3608	0.0	right/noise	35	385451
309.8624	0.0	left/tone/2500	9	387328
311.3624	0.0	right/tone/500	7	389203
312.6632	0.0	right/tone/4000	19	390829
314.164	0.0	right/noise	35	392705
315.564	0.0	left/tone/4000	17	394455
317.0632	0.0	right/noise	35	396329
318.364	0.0	left/noise	33	397955
319.8632	0.0	left/tone/2500	9	399829
321.164	0.0	right/noise	35	401455
322.664	0.0	left/tone/4000	17	403330
323.864	0.0	left/tone/2500	9	404830
325.264	0.0	right/tone/4000	19	406580
326.5648	0.0	right/tone/4000	19	408206
327.964	0.0	right/tone/2500	11	409955
329.1648	0.0	left/noise	33	411456
330.5656	0.0	left/tone/4000	17	413207
331.8672	0.0	left/tone/500	5	414834
333.3672	0.0	left/tone/2500	9	416709
334.5672	0.0	left/noise	33	418209
336.068	0.0	left/tone/4000	17	420085
337.3672	0.0	right/tone/2500	11	421709
338.7672	0.0	right/tone/2500	11	423459
340.168	0.0	left/tone/500	5	425210
341.4672	0.0	left/tone/500	5	426834
342.868	0.0	right/tone/4000	19	428585
344.368	0.0	left/tone/4000	17	430460
345.668	0.0	right/tone/500	7	432085
347.068	0.0	left/tone/4000	17	433835
348.2688	0.0	right/tone/4000	19	435336
349.568	0.0	right/tone/2500	11	436960
350.8696	0.0	left/tone/2500	9	438587
352.2696	0.0	right/tone/2500	11	440337
353.6704	0.0	left/tone/4000	17	442088
355.1688	0.0	right/tone/4000	19	443961
356.3688	0.0	right/tone/500	7	445461
357.8704	0.0	left/tone/500	5	447338
359.0696	0.0	left/tone/2500	9	448837
360.4704	0.0	right/tone/500	7	450588
361.9696	0.0	right/noise	35	452462
363.4712	0.0	left/tone/4000	17	454339
364.672	0.0	right/tone/2500	11	455840
365.8704	0.0	right/tone/4000	19	457338
